,User 0,User 1,User 2,User 3,User 4,precisionG,recallG,fscoreG,T,C,Quantity,,,,
110,149,396,629,339,155,1,1,1,2,2,855,,,,
111,338,519,122,323,158,0,0,0,0,0,475,,,,
112,519,572,442,453,35,1,1,1,5,5,1033,,,,
113,543,276,373,495,289,0,0,0,0,0,705,,,,
114,75,305,201,321,253,1,1,1,3,3,931,,,,
115,204,531,431,463,308,0,0,0,0,0,990,,,,
116,146,363,162,626,36,0,0,0,0,0,839,,,,
117,41,493,515,627,13,0,0,0,0,0,667,,,,
118,140,40,131,127,136,0,0,0,0,0,763,,,,
119,288,84,644,218,174,1,1,1,2,2,598,,,,
120,644,591,36,251,565,1,1,1,3,3,564,,,,
121,160,437,563,28,449,0,0,0,0,0,709,,,,
122,139,542,447,570,366,0,0,0,0,0,655,,,,
123,431,499,156,333,141,1,1,1,3,3,843,,,,
124,250,36,12,266,112,0,0,0,0,0,808,,,,
125,145,522,630,34,214,0,0,0,0,0,585,,,,
126,514,532,232,63,214,0,0,0,0,0,510,,,,
127,475,453,81,265,168,0,0,0,0,0,1090,,,,
128,26,246,272,454,166,0,0,0,0,0,1123,,,,
129,287,424,234,523,23,1,1,1,3,3,783,,,,
130,267,197,168,617,184,1,1,1,2,2,598,,,,
131,348,104,193,526,508,1,1,1,2,2,1144,,,,
132,526,465,264,129,378,0.666666667,1,0.8,2,3,764,,,,
133,265,27,275,94,538,0,0,0,0,0,1190,,,,
134,594,44,268,244,272,1,1,1,3,3,905,,,,
135,242,207,71,487,558,0,0,0,0,0,1109,,,,
136,198,98,486,249,72,0,0,0,0,0,700,,,,
137,9,628,55,33,302,1,1,1,3,3,712,,,,
138,388,593,457,526,354,0,0,0,0,0,523,,,,
139,563,292,84,133,378,0,0,0,0,0,628,,,,
140,9,372,150,54,447,1,1,1,2,2,836,,,,
141,325,124,371,84,594,0,0,0,0,0,524,,,,
142,78,250,308,255,244,0,0,0,0,0,710,,,,
143,73,71,633,597,18,0,0,0,0,0,762,,,,
144,371,533,21,129,145,1,1,1,4,4,827,,,,
145,86,38,323,260,200,0,0,0,0,0,825,,,,
146,483,513,603,572,422,0,0,0,0,0,784,,,,
147,218,217,578,312,565,1,1,1,2,2,510,,,,
148,27,224,554,17,233,1,1,1,3,3,896,,,,
149,463,493,234,525,605,1,1,1,6,6,907,,,,
150,9,591,53,79,146,0,0,0,0,0,413,,,,
151,525,111,21,325,331,0,0,0,0,0,564,,,,
152,192,548,439,201,198,0,0,0,0,0,674,,,,
153,17,551,545,413,295,0,0,0,0,0,647,,,,
154,144,103,282,187,389,0,0,0,0,0,668,,,,
155,154,422,73,4,372,0,0,0,0,0,826,,,,
156,33,533,568,145,630,0,0,0,0,0,518,,,,
157,70,525,499,438,280,0,0,0,0,0,534,,,,
158,91,189,68,373,592,0,0,0,0,0,621,,,,
159,52,316,303,441,449,1,1,1,2,2,933,,,,
160,211,294,161,180,26,0,0,0,0,0,990,,,,
161,243,42,172,123,439,0,0,0,0,0,863,,,,
162,464,490,93,384,14,1,1,1,3,3,527,,,,
163,14,309,405,589,461,1,1,1,2,2,729,,,,
164,97,21,435,342,284,0,0,0,0,0,862,,,,
165,477,431,185,1,12,1,1,1,2,2,626,,,,
166,367,483,522,500,427,1,1,1,2,2,747,,,,
167,261,190,474,349,426,1,1,1,2,2,1141,,,,
168,198,461,9,100,438,0,0,0,0,0,915,,,,
169,103,76,565,395,364,0,0,0,0,0,597,,,,
170,312,86,373,630,180,0,0,0,0,0,593,,,,
171,127,96,51,586,305,0,0,0,0,0,560,,,,
172,533,291,407,173,221,0,0,0,0,0,793,,,,
173,532,139,448,44,53,0,0,0,0,0,1046,,,,
174,523,12,298,638,28,1,1,1,3,3,813,,,,
175,172,473,67,282,591,0,0,0,0,0,946,,,,
176,314,138,231,109,306,0,0,0,0,0,760,,,,
177,447,567,206,517,586,0,0,0,0,0,675,,,,
178,196,266,296,113,590,0,0,0,0,0,905,,,,
179,84,600,548,307,120,1,1,1,2,2,909,,,,
180,118,438,332,307,52,0,0,0,0,0,894,,,,
181,32,297,207,590,548,0,0,0,0,0,864,,,,
182,408,289,113,359,173,1,1,1,2,2,953,,,,
183,344,102,256,636,149,0,0,0,0,0,829,,,,
184,62,620,76,561,133,0,0,0,0,0,1005,,,,
185,363,332,273,466,219,1,1,1,3,3,1147,,,,
186,549,602,647,133,171,1,1,1,4,4,764,,,,
187,249,193,608,548,588,1,1,1,2,2,714,,,,
188,314,563,525,500,102,0,0,0,0,0,819,,,,
189,73,229,252,226,47,1,1,1,3,3,904,,,,
190,178,438,192,418,368,1,1,1,3,3,960,,,,
191,511,47,417,102,262,0,0,0,0,0,960,,,,
192,371,325,631,365,426,0,0,0,0,0,449,,,,
193,128,57,89,163,140,1,1,1,3,3,651,,,,
194,389,206,187,3,179,0,0,0,0,0,661,,,,
195,463,39,303,357,144,0,0,0,0,0,601,,,,
196,152,332,350,547,305,0,0,0,0,0,936,,,,
197,447,233,572,159,525,0,0,0,0,0,601,,,,
198,441,238,103,411,197,0,0,0,0,0,1043,,,,
199,113,451,475,77,38,1,1,1,3,3,1057,,,,
200,528,96,216,355,447,0,0,0,0,0,831,,,,
201,280,632,432,104,572,0,0,0,0,0,583,,,,
202,169,542,627,238,280,1,1,1,3,3,901,,,,
203,289,183,137,480,193,0,0,0,0,0,291,,,,
204,651,47,70,77,33,1,1,1,2,2,814,,,,
205,368,621,433,29,391,0,0,0,0,0,958,,,,
206,350,431,487,247,568,0,0,0,0,0,703,,,,
207,86,455,421,27,262,1,1,1,2,2,907,,,,
208,624,432,390,137,49,1,1,1,2,2,869,,,,
209,329,222,523,207,533,0.857142857,1,0.923076923,6,7,1230,,,,
210,430,308,647,482,259,1,1,1,3,3,779,,,,
211,245,605,434,224,28,0,0,0,0,0,914,,,,
212,270,198,134,290,447,0,0,0,0,0,814,,,,
213,45,198,89,596,66,1,1,1,3,3,753,,,,
214,217,288,279,416,11,0,0,0,0,0,547,,,,
215,647,399,122,400,361,1,1,1,3,3,851,,,,
216,484,54,470,558,79,0,0,0,0,0,687,,,,
217,631,246,312,59,488,1,1,1,3,3,635,,,,
218,176,212,408,103,445,0,0,0,0,0,502,,,,
219,626,272,144,119,432,1,1,1,5,5,751,,,,
220,370,572,544,141,449,0,0,0,0,0,803,,,,
221,70,322,454,555,13,0,0,0,0,0,385,,,,
222,221,180,351,80,107,1,1,1,2,2,744,,,,
223,521,360,461,309,224,0,0,0,0,0,772,,,,
224,378,527,354,360,90,0,0,0,0,0,748,,,,
225,322,198,17,129,98,0,0,0,0,0,702,,,,
226,162,65,38,292,141,1,1,1,3,3,909,,,,
227,204,255,298,306,256,0,0,0,0,0,425,,,,
228,21,306,142,57,139,0,0,0,0,0,719,,,,
229,23,587,628,462,212,1,1,1,3,3,1009,,,,
230,397,252,416,41,423,1,1,1,4,4,906,,,,
231,577,565,178,30,570,0,0,0,0,0,743,,,,
232,328,453,631,269,521,0,0,0,0,0,860,,,,
233,492,240,150,511,221,1,1,1,2,2,948,,,,
234,242,448,456,9,554,0.857142857,1,0.923076923,6,7,1152,,,,
235,487,348,318,612,499,1,1,1,2,2,1133,,,,
236,156,428,303,602,342,0,0,0,0,0,778,,,,
237,323,268,313,233,67,0,0,0,0,0,745,,,,
238,256,646,178,40,316,1,1,1,2,2,730,,,,
239,492,423,305,578,548,0,0,0,0,0,768,,,,
240,17,144,174,40,309,0,0,0,0,0,888,,,,
241,430,76,629,114,415,1,1,1,3,3,1043,,,,
242,583,478,261,507,285,1,1,1,2,2,1014,,,,
243,90,450,265,507,590,1,1,1,2,2,697,,,,
244,139,237,463,41,278,0,0,0,0,0,835,,,,
245,227,350,305,357,115,0,0,0,0,0,799,,,,
246,427,582,91,342,472,0,0,0,0,0,1134,,,,
247,15,388,86,2,174,0,0,0,0,0,434,,,,
248,80,378,92,400,452,1,1,1,2,2,826,,,,
249,202,230,191,622,471,1,1,1,3,3,912,,,,
250,415,129,614,288,474,0,0,0,0,0,688,,,,
251,538,423,118,550,86,0,0,0,0,0,771,,,,
252,156,492,595,590,122,0,0,0,0,0,558,,,,
253,168,286,389,89,405,0,0,0,0,0,526,,,,
254,502,411,78,232,104,1,1,1,2,2,832,,,,
255,287,1,334,212,261,1,1,1,2,2,583,,,,
256,125,539,183,448,181,0,0,0,0,0,805,,,,
257,31,143,161,45,575,1,1,1,2,2,911,,,,
258,539,323,559,106,286,0,0,0,0,0,597,,,,
259,403,134,68,544,73,1,1,1,2,2,868,,,,
260,432,265,2,97,312,0,0,0,0,0,636,,,,
261,384,613,302,548,546,1,1,1,2,2,857,,,,
262,41,367,244,554,180,1,1,1,3,3,983,,,,
263,474,646,234,228,35,0,0,0,0,0,1110,,,,
264,538,223,566,18,554,1,1,1,5,5,985,,,,
265,222,44,373,148,511,1,1,1,3,3,531,,,,
266,641,163,449,274,596,1,1,1,2,2,642,,,,
267,432,163,262,610,83,1,1,1,2,2,836,,,,
268,307,150,518,176,584,1,1,1,2,2,860,,,,
269,406,466,601,398,277,0,0,0,0,0,799,,,,
270,62,561,297,176,568,1,1,1,4,4,1136,,,,
271,217,642,269,625,397,1,1,1,3,3,968,,,,
272,357,221,172,612,31,0,0,0,0,0,1016,,,,
273,386,109,233,291,222,1,1,1,2,2,953,,,,
274,567,419,540,57,550,1,1,1,2,2,769,,,,
275,123,603,248,591,436,0,0,0,0,0,861,,,,
276,566,322,38,530,565,1,1,1,2,2,643,,,,
277,172,70,548,331,150,0,0,0,0,0,946,,,,
278,113,382,241,488,549,0,0,0,0,0,751,,,,
279,221,420,432,181,439,0,0,0,0,0,573,,,,
280,27,588,629,136,433,1,1,1,3,3,975,,,,
281,542,533,406,149,160,0,0,0,0,0,620,,,,
282,128,101,492,538,408,0,0,0,0,0,854,,,,
283,332,54,527,160,164,0,0,0,0,0,693,,,,
284,96,38,407,272,542,1,1,1,2,2,798,,,,
285,606,302,96,272,481,0,0,0,0,0,796,,,,
286,463,262,55,219,531,1,1,1,2,2,1075,,,,
287,309,526,429,94,580,0,0,0,0,0,653,,,,
288,584,474,221,174,328,1,1,1,2,2,909,,,,
289,631,31,12,73,408,1,1,1,2,2,901,,,,
290,547,536,118,97,180,1,1,1,2,2,867,,,,
291,176,200,638,645,418,0,0,0,0,0,908,,,,
