User0,User1,User2,SL item đánh giá chung
76.0,171.0,353.0,9.0
237.0,34.0,214.0,12.0
185.0,199.0,635.0,10.0
522.0,448.0,198.0,7.0
76.0,313.0,64.0,8.0
581.0,207.0,68.0,9.0
121.0,421.0,9.0,5.0
356.0,484.0,415.0,5.0
394.0,90.0,373.0,6.0
258.0,35.0,459.0,6.0
655.0,623.0,370.0,5.0
58.0,157.0,427.0,10.0
191.0,168.0,573.0,6.0
465.0,228.0,224.0,8.0
545.0,401.0,202.0,6.0
648.0,12.0,182.0,4.0
26.0,411.0,56.0,14.0
263.0,131.0,369.0,6.0
421.0,44.0,315.0,11.0
404.0,161.0,265.0,10.0
276.0,82.0,585.0,4.0
17.0,438.0,282.0,3.0
126.0,289.0,191.0,9.0
368.0,161.0,629.0,8.0
250.0,533.0,550.0,9.0
103.0,659.0,460.0,5.0
418.0,166.0,71.0,2.0
405.0,433.0,141.0,4.0
162.0,70.0,292.0,9.0
462.0,359.0,89.0,5.0
216.0,576.0,499.0,6.0
511.0,548.0,318.0,6.0
276.0,639.0,181.0,6.0
393.0,609.0,337.0,3.0
121.0,111.0,190.0,8.0
643.0,579.0,401.0,6.0
355.0,357.0,193.0,4.0
133.0,77.0,1.0,9.0
464.0,49.0,175.0,7.0
351.0,361.0,501.0,7.0
102.0,376.0,89.0,3.0
507.0,209.0,479.0,8.0
579.0,449.0,557.0,12.0
7.0,284.0,34.0,14.0
90.0,285.0,108.0,6.0
17.0,658.0,312.0,3.0
4.0,263.0,410.0,5.0
657.0,138.0,280.0,4.0
531.0,229.0,24.0,5.0
407.0,69.0,140.0,9.0
38.0,8.0,316.0,4.0
616.0,67.0,202.0,8.0
44.0,315.0,650.0,9.0
592.0,270.0,183.0,8.0
166.0,110.0,337.0,6.0
115.0,411.0,203.0,5.0
302.0,645.0,240.0,2.0
479.0,328.0,104.0,9.0
494.0,643.0,359.0,13.0
636.0,238.0,394.0,12.0
660.0,641.0,647.0,10.0
460.0,402.0,607.0,5.0
103.0,149.0,1.0,7.0
24.0,183.0,603.0,9.0
65.0,240.0,656.0,3.0
486.0,75.0,169.0,8.0
360.0,228.0,266.0,7.0
377.0,70.0,553.0,2.0
236.0,27.0,46.0,8.0
492.0,225.0,457.0,11.0
83.0,333.0,91.0,4.0
241.0,279.0,50.0,3.0
453.0,115.0,167.0,8.0
491.0,203.0,505.0,6.0
556.0,660.0,215.0,12.0
159.0,403.0,332.0,10.0
558.0,151.0,146.0,5.0
538.0,211.0,228.0,5.0
556.0,122.0,581.0,6.0
445.0,141.0,237.0,14.0
553.0,142.0,334.0,7.0
396.0,26.0,182.0,9.0
540.0,135.0,56.0,6.0
352.0,485.0,259.0,8.0
318.0,439.0,232.0,9.0
579.0,495.0,38.0,6.0
466.0,94.0,20.0,8.0
32.0,563.0,262.0,7.0
654.0,252.0,642.0,7.0
468.0,469.0,387.0,8.0
199.0,600.0,315.0,6.0
660.0,56.0,283.0,6.0
322.0,286.0,297.0,12.0
571.0,226.0,78.0,5.0
405.0,41.0,6.0,12.0
339.0,128.0,56.0,13.0
165.0,539.0,631.0,4.0
165.0,471.0,640.0,5.0
653.0,165.0,27.0,9.0
117.0,575.0,166.0,7.0
583.0,587.0,564.0,6.0
626.0,358.0,24.0,5.0
247.0,161.0,152.0,5.0
502.0,598.0,649.0,9.0
211.0,658.0,625.0,6.0
153.0,10.0,176.0,8.0
541.0,207.0,340.0,12.0
88.0,390.0,151.0,9.0
339.0,158.0,351.0,10.0
180.0,283.0,631.0,12.0
27.0,207.0,625.0,6.0
582.0,227.0,60.0,4.0
661.0,469.0,399.0,11.0
605.0,151.0,504.0,8.0
406.0,391.0,44.0,5.0
163.0,172.0,271.0,7.0
464.0,78.0,621.0,15.0
253.0,161.0,460.0,8.0
457.0,194.0,450.0,7.0
59.0,662.0,359.0,8.0
286.0,393.0,276.0,2.0
18.0,296.0,113.0,7.0
648.0,567.0,69.0,8.0
591.0,122.0,187.0,6.0
489.0,76.0,244.0,9.0
348.0,150.0,213.0,5.0
298.0,294.0,113.0,8.0
192.0,397.0,334.0,4.0
