User0,User1,User2,SL item đánh giá chung
466.0,649.0,564.0,13.0
124.0,276.0,92.0,11.0
487.0,233.0,503.0,7.0
187.0,98.0,106.0,8.0
526.0,456.0,407.0,6.0
381.0,641.0,139.0,7.0
109.0,596.0,654.0,8.0
120.0,256.0,172.0,7.0
67.0,210.0,57.0,9.0
318.0,401.0,350.0,8.0
495.0,614.0,113.0,5.0
167.0,530.0,20.0,10.0
419.0,538.0,220.0,6.0
238.0,12.0,477.0,10.0
225.0,275.0,204.0,4.0
333.0,460.0,246.0,6.0
561.0,485.0,51.0,6.0
112.0,525.0,409.0,11.0
331.0,11.0,207.0,6.0
43.0,216.0,27.0,8.0
323.0,276.0,184.0,1.0
217.0,155.0,1.0,11.0
401.0,282.0,331.0,2.0
294.0,420.0,523.0,8.0
364.0,18.0,523.0,5.0
433.0,57.0,542.0,8.0
354.0,270.0,29.0,10.0
410.0,261.0,89.0,7.0
597.0,127.0,60.0,8.0
583.0,656.0,133.0,12.0
660.0,104.0,41.0,7.0
602.0,468.0,441.0,11.0
256.0,339.0,489.0,6.0
596.0,358.0,11.0,12.0
655.0,266.0,531.0,6.0
416.0,161.0,107.0,8.0
83.0,164.0,402.0,7.0
422.0,76.0,366.0,6.0
178.0,184.0,481.0,9.0
379.0,191.0,95.0,5.0
137.0,637.0,542.0,2.0
505.0,92.0,506.0,4.0
569.0,587.0,291.0,7.0
249.0,645.0,390.0,9.0
170.0,449.0,347.0,9.0
639.0,94.0,232.0,8.0
530.0,431.0,110.0,6.0
595.0,543.0,297.0,6.0
637.0,319.0,129.0,7.0
107.0,391.0,486.0,8.0
484.0,430.0,160.0,7.0
332.0,361.0,102.0,6.0
539.0,218.0,345.0,10.0
245.0,363.0,426.0,9.0
568.0,83.0,142.0,9.0
5.0,286.0,199.0,6.0
339.0,267.0,56.0,4.0
4.0,480.0,421.0,5.0
132.0,477.0,98.0,13.0
61.0,122.0,515.0,4.0
423.0,505.0,600.0,8.0
451.0,439.0,88.0,8.0
19.0,190.0,112.0,13.0
63.0,286.0,339.0,10.0
271.0,138.0,653.0,12.0
529.0,13.0,325.0,12.0
52.0,404.0,423.0,6.0
426.0,425.0,368.0,8.0
309.0,662.0,151.0,11.0
541.0,330.0,234.0,8.0
162.0,438.0,105.0,12.0
100.0,400.0,429.0,8.0
50.0,308.0,81.0,5.0
489.0,320.0,90.0,6.0
33.0,303.0,169.0,9.0
