User0,User1,SL item đánh giá chung
99.0,308.0,37.0
360.0,53.0,56.0
517.0,578.0,49.0
35.0,222.0,59.0
73.0,302.0,45.0
487.0,77.0,56.0
377.0,24.0,52.0
586.0,153.0,40.0
26.0,622.0,49.0
330.0,530.0,54.0
319.0,433.0,42.0
330.0,350.0,45.0
558.0,520.0,48.0
448.0,633.0,52.0
603.0,199.0,44.0
394.0,410.0,51.0
447.0,465.0,52.0
440.0,653.0,48.0
300.0,646.0,46.0
365.0,1.0,41.0
7.0,524.0,44.0
242.0,501.0,42.0
338.0,13.0,45.0
147.0,652.0,47.0
295.0,482.0,47.0
651.0,257.0,34.0
526.0,290.0,48.0
342.0,269.0,47.0
518.0,374.0,48.0
601.0,657.0,63.0
632.0,412.0,53.0
197.0,456.0,48.0
37.0,550.0,63.0
258.0,375.0,45.0
5.0,300.0,46.0
641.0,47.0,51.0
527.0,28.0,46.0
254.0,490.0,54.0
380.0,536.0,56.0
197.0,478.0,44.0
223.0,606.0,48.0
544.0,146.0,41.0
446.0,515.0,48.0
96.0,80.0,46.0
618.0,143.0,52.0
122.0,368.0,51.0
588.0,186.0,41.0
14.0,388.0,54.0
403.0,123.0,40.0
292.0,430.0,57.0
32.0,467.0,50.0
387.0,626.0,50.0
499.0,593.0,41.0
339.0,284.0,58.0
224.0,176.0,57.0
245.0,450.0,42.0
400.0,350.0,49.0
546.0,268.0,40.0
659.0,90.0,45.0
343.0,644.0,50.0
362.0,124.0,48.0
122.0,615.0,53.0
564.0,196.0,51.0
445.0,330.0,56.0
258.0,104.0,47.0
321.0,21.0,48.0
290.0,582.0,48.0
344.0,610.0,54.0
505.0,104.0,48.0
382.0,329.0,46.0
82.0,40.0,40.0
20.0,213.0,60.0
101.0,149.0,45.0
560.0,13.0,38.0
583.0,375.0,61.0
175.0,496.0,37.0
585.0,134.0,50.0
344.0,500.0,54.0
455.0,272.0,45.0
272.0,369.0,52.0
243.0,354.0,51.0
244.0,351.0,47.0
228.0,123.0,57.0
124.0,282.0,37.0
95.0,469.0,47.0
615.0,312.0,51.0
