,User 0,User 1,User 2,User 3,precisionG,recallG,fscoreG,T,C,Quantity
90,604,367,599,23,0.777777778,1,0.875,42,54,1335
91,532,304,201,644,0.648648649,1,0.786885246,24,37,1406
92,510,301,292,251,0.8,1,0.888888889,32,40,1362
93,97,647,145,315,0.75,1,0.857142857,36,48,1318
94,322,546,658,480,0.742857143,1,0.852459016,26,35,1292
95,182,58,407,26,0.8125,1,0.896551724,39,48,1296
96,12,146,156,44,0.813953488,1,0.897435897,35,43,1342
97,630,410,524,252,0.823529412,1,0.903225806,42,51,1241
98,643,252,439,575,0.849056604,1,0.918367347,45,53,1352
99,356,155,54,298,0.763157895,1,0.865671642,29,38,1409
100,187,282,393,310,0.804878049,1,0.891891892,33,41,1188
101,10,458,202,289,0.736842105,1,0.848484848,28,38,1273
102,137,132,398,142,0.823529412,1,0.903225806,42,51,1310
103,206,255,552,514,0.71875,1,0.836363636,23,32,1314
104,526,5,398,388,0.657142857,1,0.793103448,23,35,1340
105,196,25,651,189,0.789473684,1,0.882352941,30,38,1319
106,583,75,659,341,0.739130435,1,0.85,34,46,1317
107,646,619,47,62,0.756756757,1,0.861538462,28,37,1276
108,384,514,169,218,0.697674419,1,0.821917808,30,43,1329
109,14,378,530,237,0.72972973,1,0.84375,27,37,1332
110,196,473,205,190,0.780487805,1,0.876712329,32,41,1243
111,290,259,268,326,0.694444444,1,0.819672131,25,36,1336
112,411,505,224,565,0.795918367,1,0.886363636,39,49,1378
113,579,406,120,38,0.765957447,1,0.86746988,36,47,1275
114,544,487,443,524,0.843137255,1,0.914893617,43,51,1362
115,145,559,101,621,0.756097561,1,0.861111111,31,41,1306
116,129,632,523,11,0.714285714,1,0.833333333,30,42,1258
117,311,423,254,124,0.763157895,1,0.865671642,29,38,1340
118,247,337,246,257,0.785714286,1,0.88,33,42,1290
119,129,96,618,66,0.761904762,1,0.864864865,32,42,1304
120,387,9,248,397,0.72972973,1,0.84375,27,37,1342
121,317,288,151,193,0.822222222,1,0.902439024,37,45,1404
122,632,240,523,1,0.738095238,1,0.849315068,31,42,1312
123,47,9,462,221,0.820512821,1,0.901408451,32,39,1343
124,411,294,168,553,0.822222222,1,0.902439024,37,45,1320
125,80,101,86,29,0.857142857,1,0.923076923,42,49,1288
126,236,548,437,474,0.7,1,0.823529412,35,50,1253
127,601,293,380,496,0.782608696,1,0.87804878,36,46,1307
128,578,410,292,659,0.705882353,1,0.827586207,24,34,1328
129,148,27,270,616,0.714285714,1,0.833333333,30,42,1288
130,37,172,10,19,0.744186047,1,0.853333333,32,43,1373
131,414,377,421,89,0.66,1,0.795180723,33,50,1327
132,661,289,558,337,0.736842105,1,0.848484848,28,38,1375
133,327,367,386,528,0.788461538,1,0.88172043,41,52,1351
134,531,293,276,304,0.795454545,1,0.886075949,35,44,1388
135,438,235,353,558,0.8,1,0.888888889,36,45,1350
136,323,243,15,532,0.620689655,1,0.765957447,18,29,1314
137,505,50,208,508,0.770833333,1,0.870588235,37,48,1396
138,510,111,645,625,0.837209302,1,0.911392405,36,43,1257
139,363,639,582,33,0.707317073,1,0.828571429,29,41,1318
140,319,543,345,607,0.777777778,1,0.875,35,45,1401
141,103,578,337,165,0.901960784,1,0.948453608,46,51,1324
142,316,500,462,116,0.764705882,1,0.866666667,39,51,1358
143,156,619,39,197,0.804347826,1,0.891566265,37,46,1304
144,290,72,32,456,0.796296296,1,0.886597938,43,54,1271
145,584,109,108,416,0.787878788,1,0.881355932,26,33,1331
146,30,595,200,216,0.760869565,1,0.864197531,35,46,1316
147,423,103,71,464,0.724137931,1,0.84,21,29,1252
148,236,632,432,278,0.705882353,1,0.827586207,24,34,1286
149,448,464,220,190,0.769230769,1,0.869565217,30,39,1293
150,389,268,15,206,0.75,1,0.857142857,33,44,1370
151,533,109,346,636,0.825,1,0.904109589,33,40,1288
152,470,431,6,135,0.774193548,1,0.872727273,24,31,1255
153,312,95,290,584,0.775,1,0.873239437,31,40,1299
154,452,45,356,399,0.775,1,0.873239437,31,40,1348
155,397,575,619,427,0.642857143,1,0.782608696,18,28,1239
156,377,75,528,427,0.70212766,1,0.825,33,47,1374
157,10,445,24,300,0.707317073,1,0.828571429,29,41,1311
158,226,561,403,346,0.853658537,1,0.921052632,35,41,1335
159,165,511,551,7,0.833333333,1,0.909090909,40,48,1292
160,54,553,10,609,0.843137255,1,0.914893617,43,51,1303
161,194,178,32,304,0.837209302,1,0.911392405,36,43,1301
162,458,293,439,389,0.784313725,1,0.879120879,40,51,1338
163,94,586,353,604,0.76,1,0.863636364,38,50,1392
164,294,389,532,483,0.761904762,1,0.864864865,32,42,1332
165,613,594,422,172,0.785714286,1,0.88,44,56,1387
166,301,283,372,66,0.8,1,0.888888889,40,50,1380
167,397,261,431,636,0.710526316,1,0.830769231,27,38,1226
168,296,61,570,641,0.78,1,0.876404494,39,50,1381
169,27,78,502,86,0.684210526,1,0.8125,26,38,1258
170,421,658,624,431,0.75,1,0.857142857,30,40,1274
171,305,246,413,461,0.777777778,1,0.875,28,36,1346
172,659,249,254,234,0.789473684,1,0.882352941,30,38,1282
173,525,148,456,449,0.763157895,1,0.865671642,29,38,1297
174,295,244,648,260,0.786885246,1,0.880733945,48,61,1318
175,163,494,308,649,0.804347826,1,0.891566265,37,46,1352
176,30,590,184,136,0.818181818,1,0.9,36,44,1303
177,365,528,630,574,0.818181818,1,0.9,27,33,1349
178,131,633,359,569,0.818181818,1,0.9,36,44,1269
179,378,113,439,641,0.731707317,1,0.845070423,30,41,1376
180,224,500,140,439,0.717391304,1,0.835443038,33,46,1345
181,660,593,248,397,0.825,1,0.904109589,33,40,1236
182,640,98,391,585,0.722222222,1,0.838709677,26,36,1285
183,281,121,574,573,0.787234043,1,0.880952381,37,47,1418
184,83,195,423,132,0.777777778,1,0.875,42,54,1294
185,366,619,174,434,0.723404255,1,0.839506173,34,47,1316
186,563,210,290,401,0.849056604,1,0.918367347,45,53,1294
187,637,550,581,34,0.727272727,1,0.842105263,24,33,1259
188,531,64,518,474,0.722222222,1,0.838709677,26,36,1297
189,219,12,245,98,0.836734694,1,0.911111111,41,49,1297
190,16,154,653,514,0.707317073,1,0.828571429,29,41,1251
191,409,438,350,498,0.738095238,1,0.849315068,31,42,1264
192,409,578,83,106,0.735294118,1,0.847457627,25,34,1307
193,66,158,353,426,0.788461538,1,0.88172043,41,52,1347
194,467,197,382,283,0.853658537,1,0.921052632,35,41,1270
195,214,38,182,56,0.682926829,1,0.811594203,28,41,1266
196,394,441,221,40,0.72972973,1,0.84375,27,37,1320
197,655,469,200,241,0.775,1,0.873239437,31,40,1295
198,65,107,187,297,0.725,1,0.84057971,29,40,1297
199,175,114,325,346,0.736842105,1,0.848484848,28,38,1272
200,318,519,542,329,0.804878049,1,0.891891892,33,41,1333
201,492,482,648,274,0.775,1,0.873239437,31,40,1304
202,552,297,265,583,0.820512821,1,0.901408451,32,39,1305
203,40,520,479,626,0.837209302,1,0.911392405,36,43,1337
204,560,136,444,549,0.765957447,1,0.86746988,36,47,1346
205,120,474,464,532,0.709677419,1,0.830188679,22,31,1282
206,115,138,13,524,0.772727273,1,0.871794872,34,44,1325
207,552,322,132,478,0.84,1,0.913043478,42,50,1244
208,76,290,127,354,0.780487805,1,0.876712329,32,41,1308
209,502,657,223,440,0.743589744,1,0.852941176,29,39,1289
210,502,578,601,626,0.76744186,1,0.868421053,33,43,1358
211,474,614,477,484,0.764705882,1,0.866666667,26,34,1246
212,643,330,503,35,0.744186047,1,0.853333333,32,43,1373
213,280,573,472,402,0.738095238,1,0.849315068,31,42,1402
214,657,329,519,448,0.788461538,1,0.88172043,41,52,1388
215,573,18,502,607,0.760869565,1,0.864197531,35,46,1381
216,453,166,228,445,0.808510638,1,0.894117647,38,47,1287
217,524,249,20,298,0.736842105,1,0.848484848,28,38,1343
218,383,147,451,601,0.837209302,1,0.911392405,36,43,1316
219,491,290,37,11,0.833333333,1,0.909090909,30,36,1279
220,413,46,387,362,0.777777778,1,0.875,35,45,1251
221,558,281,582,276,0.756097561,1,0.861111111,31,41,1394
222,70,352,662,99,0.763157895,1,0.865671642,29,38,1252
223,108,268,638,550,0.755555556,1,0.860759494,34,45,1324
224,313,525,123,472,0.8,1,0.888888889,28,35,1264
225,182,224,499,530,0.790697674,1,0.883116883,34,43,1197
226,564,250,649,422,0.729166667,1,0.843373494,35,48,1329
227,115,139,603,271,0.736842105,1,0.848484848,28,38,1398
228,472,386,616,549,0.785714286,1,0.88,33,42,1256
229,609,120,642,457,0.777777778,1,0.875,35,45,1293
230,105,646,278,648,0.75,1,0.857142857,33,44,1420
231,377,639,107,599,0.72972973,1,0.84375,27,37,1347
232,202,26,373,146,0.727272727,1,0.842105263,32,44,1335
233,445,620,318,355,0.791666667,1,0.88372093,38,48,1347
234,153,661,494,143,0.666666667,1,0.8,28,42,1295
235,476,167,513,536,0.826086957,1,0.904761905,38,46,1401
236,94,338,565,321,0.756097561,1,0.861111111,31,41,1375
237,648,442,615,307,0.793103448,1,0.884615385,46,58,1288
238,392,487,112,235,0.743589744,1,0.852941176,29,39,1298
239,296,381,15,649,0.775,1,0.873239437,31,40,1297
240,391,287,502,642,0.795454545,1,0.886075949,35,44,1324
241,578,643,519,431,0.818181818,1,0.9,36,44,1380
242,208,392,484,146,0.803921569,1,0.891304348,41,51,1365
243,375,501,511,157,0.860465116,1,0.925,37,43,1264
