,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
111,351,288,157,0.862068966,1,0.925925926,25,29,1473
112,573,77,375,0.857142857,1,0.923076923,30,35,1481
113,167,384,440,0.863636364,1,0.926829268,19,22,1497
114,79,623,467,0.896551724,1,0.945454545,26,29,1484
115,491,54,358,0.923076923,1,0.96,24,26,1506
116,523,75,517,0.814814815,1,0.897959184,22,27,1428
117,39,469,559,0.85,1,0.918918919,17,20,1521
118,424,597,196,0.896551724,1,0.945454545,26,29,1512
119,573,69,641,0.935483871,1,0.966666667,29,31,1462
120,640,534,431,0.852941176,1,0.920634921,29,34,1580
121,327,457,547,0.935483871,1,0.966666667,29,31,1436
122,584,338,485,0.846153846,1,0.916666667,22,26,1453
123,555,53,584,0.8,1,0.888888889,20,25,1547
124,70,451,175,0.875,1,0.933333333,21,24,1453
125,5,283,74,0.814814815,1,0.897959184,22,27,1497
126,46,564,512,0.75862069,1,0.862745098,22,29,1520
127,86,503,78,0.821428571,1,0.901960784,23,28,1537
128,147,195,404,0.961538462,1,0.980392157,25,26,1538
129,71,244,213,0.933333333,1,0.965517241,28,30,1509
130,555,329,456,0.8,1,0.888888889,20,25,1530
131,423,570,240,0.868421053,1,0.929577465,33,38,1550
132,306,445,150,0.925925926,1,0.961538462,25,27,1502
133,128,518,615,0.888888889,1,0.941176471,24,27,1535
134,278,303,288,0.878787879,1,0.935483871,29,33,1505
135,536,132,556,0.9,1,0.947368421,27,30,1512
136,23,322,251,0.846153846,1,0.916666667,22,26,1520
137,56,172,421,0.863636364,1,0.926829268,19,22,1509
138,119,497,574,0.84,1,0.913043478,21,25,1447
139,161,195,605,0.65,1,0.787878788,13,20,1483
140,288,650,425,0.941176471,1,0.96969697,32,34,1531
141,95,499,362,0.863636364,1,0.926829268,19,22,1502
142,545,626,497,0.782608696,1,0.87804878,18,23,1514
143,259,489,136,0.904761905,1,0.95,19,21,1494
