,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
98,305,473,298,0.84,1,0.913043478,21,25,1494
99,519,467,168,0.913043478,1,0.954545455,21,23,1362
100,612,67,537,0.869565217,1,0.930232558,20,23,1384
101,305,55,293,0.851851852,1,0.92,23,27,1483
102,296,401,599,0.909090909,1,0.952380952,20,22,1373
103,428,432,280,0.931034483,1,0.964285714,27,29,1424
104,604,152,334,0.869565217,1,0.930232558,20,23,1360
105,498,263,415,0.8125,1,0.896551724,13,16,1396
106,50,513,422,0.885714286,1,0.939393939,31,35,1431
107,431,501,193,0.896551724,1,0.945454545,26,29,1438
108,273,328,436,0.814814815,1,0.897959184,22,27,1370
109,25,113,646,1,1,1,23,23,1498
110,275,353,131,0.833333333,1,0.909090909,25,30,1469
111,153,378,322,0.928571429,1,0.962962963,26,28,1454
112,431,607,164,0.956521739,1,0.977777778,22,23,1375
113,424,374,454,0.95,1,0.974358974,19,20,1388
114,444,169,53,0.923076923,1,0.96,24,26,1459
115,17,234,528,0.933333333,1,0.965517241,28,30,1463
116,235,499,548,1,1,1,23,23,1413
117,566,403,18,0.913043478,1,0.954545455,21,23,1360
118,552,164,368,0.833333333,1,0.909090909,25,30,1426
119,462,492,640,0.964285714,1,0.981818182,27,28,1441
120,568,338,508,0.9,1,0.947368421,27,30,1406
121,111,524,307,0.866666667,1,0.928571429,26,30,1370
122,191,649,149,0.885714286,1,0.939393939,31,35,1481
123,233,439,643,0.8,1,0.888888889,24,30,1403
124,650,323,205,0.85,1,0.918918919,17,20,1401
125,658,493,75,0.884615385,1,0.93877551,23,26,1434
126,50,311,353,0.888888889,1,0.941176471,24,27,1469
127,155,88,483,0.851851852,1,0.92,23,27,1443
128,438,617,473,0.892857143,1,0.943396226,25,28,1508
129,386,546,440,0.923076923,1,0.96,24,26,1411
130,561,172,181,0.878787879,1,0.935483871,29,33,1492
131,48,558,645,0.85,1,0.918918919,17,20,1346
132,177,66,90,0.787878788,1,0.881355932,26,33,1538
133,292,609,564,0.909090909,1,0.952380952,30,33,1395
134,186,107,16,0.888888889,1,0.941176471,16,18,1418
135,461,38,389,0.925925926,1,0.961538462,25,27,1417
136,380,371,602,0.913043478,1,0.954545455,21,23,1393
137,23,458,219,0.9,1,0.947368421,27,30,1434
138,150,237,254,0.848484848,1,0.918032787,28,33,1394
139,556,212,409,0.904761905,1,0.95,19,21,1435
140,21,170,509,0.84,1,0.913043478,21,25,1483
141,432,450,597,0.894736842,1,0.944444444,17,19,1459
142,299,168,455,0.818181818,1,0.9,18,22,1412
143,325,477,256,0.911764706,1,0.953846154,31,34,1424
144,448,5,260,0.818181818,1,0.9,27,33,1438
145,28,558,532,0.913043478,1,0.954545455,21,23,1432
146,213,261,463,0.695652174,1,0.820512821,16,23,1384
147,652,462,458,0.913043478,1,0.954545455,21,23,1466
148,215,426,187,0.9,1,0.947368421,27,30,1459
149,56,555,609,0.78125,1,0.877192982,25,32,1383
150,296,236,76,0.928571429,1,0.962962963,26,28,1347
151,233,426,357,0.833333333,1,0.909090909,20,24,1474
152,454,277,547,0.92,1,0.958333333,23,25,1368
153,251,400,134,0.882352941,1,0.9375,15,17,1439
154,658,133,44,1,1,1,12,12,1284
155,128,85,443,0.967741935,1,0.983606557,30,31,1376
156,349,387,598,0.92,1,0.958333333,23,25,1412
157,245,63,168,0.8,1,0.888888889,16,20,1424
158,238,475,437,0.875,1,0.933333333,21,24,1445
159,81,356,291,0.782608696,1,0.87804878,18,23,1340
160,633,414,333,0.852941176,1,0.920634921,29,34,1552
161,549,36,166,0.866666667,1,0.928571429,26,30,1394
162,291,560,144,0.846153846,1,0.916666667,22,26,1317
163,17,42,36,0.851851852,1,0.92,23,27,1464
164,144,458,384,0.869565217,1,0.930232558,20,23,1446
165,523,581,340,0.75,1,0.857142857,18,24,1301
166,565,499,103,0.727272727,1,0.842105263,16,22,1515
167,641,118,616,0.857142857,1,0.923076923,24,28,1529
168,502,317,412,0.761904762,1,0.864864865,16,21,1485
169,418,345,27,0.92,1,0.958333333,23,25,1351
170,635,131,307,1,1,1,20,20,1499
171,451,32,20,0.967741935,1,0.983606557,30,31,1528
172,82,174,415,0.909090909,1,0.952380952,10,11,1428
173,87,626,205,0.954545455,1,0.976744186,21,22,1348
174,602,320,610,0.866666667,1,0.928571429,26,30,1438
175,356,367,246,0.88,1,0.936170213,22,25,1454
176,562,222,334,0.827586207,1,0.905660377,24,29,1407
177,359,393,88,0.903225806,1,0.949152542,28,31,1412
178,245,126,362,0.838709677,1,0.912280702,26,31,1455
179,523,174,357,0.826086957,1,0.904761905,19,23,1473
180,233,635,552,0.9375,1,0.967741935,30,32,1515
181,328,250,529,0.947368421,1,0.972972973,18,19,1446
182,81,305,43,0.851851852,1,0.92,23,27,1467
183,97,17,594,0.884615385,1,0.93877551,23,26,1336
184,274,497,594,0.75,1,0.857142857,24,32,1414
185,427,367,260,0.869565217,1,0.930232558,20,23,1508
186,307,434,607,0.88,1,0.936170213,22,25,1430
187,326,466,190,0.894736842,1,0.944444444,17,19,1352
188,451,224,370,0.96,1,0.979591837,24,25,1469
189,26,69,453,0.909090909,1,0.952380952,20,22,1405
190,39,233,643,0.90625,1,0.950819672,29,32,1397
191,57,588,254,0.846153846,1,0.916666667,22,26,1356
192,16,452,35,0.96,1,0.979591837,24,25,1374
193,149,135,183,0.894736842,1,0.944444444,17,19,1399
194,492,223,592,1,1,1,27,27,1362
195,507,626,264,0.75,1,0.857142857,18,24,1477
196,328,475,12,0.958333333,1,0.978723404,23,24,1492
197,231,407,10,0.96,1,0.979591837,24,25,1423
198,413,205,526,0.75,1,0.857142857,15,20,1349
199,161,401,355,0.791666667,1,0.88372093,19,24,1452
200,48,630,550,0.791666667,1,0.88372093,19,24,1348
201,47,392,274,0.9375,1,0.967741935,15,16,1397
202,263,172,176,0.956521739,1,0.977777778,22,23,1387
203,542,503,302,0.85,1,0.918918919,17,20,1462
204,586,137,453,0.909090909,1,0.952380952,20,22,1414
205,91,210,90,0.807692308,1,0.893617021,21,26,1362
206,36,413,118,0.870967742,1,0.931034483,27,31,1386
