,User 0,User 1,precisionG,recallG,fscoreG,T,C,Quantity
154,617,395,1,1,1,9,9,1602
155,201,370,0.857142857,1,0.923076923,6,7,1618
156,369,50,1,1,1,5,5,1745
157,428,197,1,1,1,4,4,1671
158,529,47,1,1,1,8,8,1772
159,490,625,1,1,1,7,7,1807
160,480,319,1,1,1,3,3,1704
161,6,547,1,1,1,4,4,1722
162,479,609,0.833333333,1,0.909090909,5,6,1765
163,316,417,0.888888889,1,0.941176471,8,9,1718
164,148,11,0.857142857,1,0.923076923,6,7,1746
165,302,629,1,1,1,9,9,1639
166,67,144,1,1,1,10,10,1731
167,589,212,1,1,1,12,12,1708
168,427,106,1,1,1,8,8,1706
169,9,383,0.666666667,1,0.8,2,3,1695
170,186,231,1,1,1,4,4,1709
171,540,422,1,1,1,6,6,1764
172,408,107,0.8,1,0.888888889,4,5,1765
173,118,263,1,1,1,9,9,1717
174,493,459,1,1,1,5,5,1689
175,439,440,1,1,1,4,4,1761
176,514,586,1,1,1,6,6,1740
177,207,641,1,1,1,7,7,1720
178,323,497,0.888888889,1,0.941176471,8,9,1792
179,603,288,1,1,1,5,5,1704
180,174,502,1,1,1,6,6,1703
181,188,109,0.75,1,0.857142857,3,4,1710
182,606,528,1,1,1,12,12,1639
183,642,76,1,1,1,6,6,1691
184,259,42,1,1,1,5,5,1678
185,574,535,0.888888889,1,0.941176471,8,9,1748
186,185,555,0.666666667,1,0.8,4,6,1715
187,372,356,1,1,1,8,8,1773
188,515,379,1,1,1,8,8,1799
189,264,400,1,1,1,3,3,1736
190,613,273,1,1,1,9,9,1680
191,482,163,1,1,1,3,3,1735
192,459,569,1,1,1,7,7,1769
193,528,81,0.75,1,0.857142857,3,4,1781
194,109,534,0,0,0,0,0,1703
195,480,293,0.8,1,0.888888889,4,5,1728
196,327,439,1,1,1,9,9,1734
197,133,318,1,1,1,9,9,1751
198,186,306,1,1,1,11,11,1684
199,503,403,0,0,0,0,0,1704
200,268,165,0.6,1,0.75,3,5,1761
201,256,613,1,1,1,4,4,1708
202,111,255,1,1,1,7,7,1694
203,144,428,1,1,1,7,7,1724
204,100,606,1,1,1,6,6,1713
205,179,122,1,1,1,4,4,1733
206,606,381,1,1,1,5,5,1701
207,465,444,1,1,1,6,6,1770
208,108,612,0.666666667,1,0.8,2,3,1724
209,55,219,1,1,1,6,6,1736
