,User 0,User 1,User 2,precisionG,recallG,fscoreG,T,C,Quantity
98,357,493,543,0.882352941,1,0.9375,15,17,1585
99,568,116,508,0.863636364,1,0.926829268,19,22,1514
100,205,547,421,0.75,1,0.857142857,12,16,1611
101,467,539,612,0.857142857,1,0.923076923,12,14,1545
102,649,415,132,0.833333333,1,0.909090909,25,30,1690
103,600,373,130,0.863636364,1,0.926829268,19,22,1606
104,451,453,1,0.866666667,1,0.928571429,13,15,1689
105,70,592,127,0.727272727,1,0.842105263,8,11,1598
106,520,628,121,0.75,1,0.857142857,12,16,1585
107,635,540,358,0.9,1,0.947368421,18,20,1518
108,440,453,74,0.714285714,1,0.833333333,5,7,1581
109,591,336,337,0.894736842,1,0.944444444,17,19,1655
110,525,631,460,0.833333333,1,0.909090909,10,12,1644
111,417,259,257,0.818181818,1,0.9,18,22,1612
112,87,48,280,0.904761905,1,0.95,19,21,1619
113,12,542,485,0.823529412,1,0.903225806,14,17,1651
114,587,269,339,0.863636364,1,0.926829268,19,22,1668
115,278,140,376,0.785714286,1,0.88,11,14,1492
116,176,545,294,0.733333333,1,0.846153846,11,15,1610
117,26,516,80,0.85,1,0.918918919,17,20,1631
118,155,5,507,0.894736842,1,0.944444444,17,19,1622
119,622,501,197,0.85,1,0.918918919,17,20,1652
120,73,478,467,0.857142857,1,0.923076923,12,14,1587
121,365,429,539,0.857142857,1,0.923076923,18,21,1586
122,338,280,286,0.842105263,1,0.914285714,16,19,1606
123,579,541,279,0.8125,1,0.896551724,13,16,1582
124,460,648,509,0.833333333,1,0.909090909,10,12,1631
125,96,480,515,0.866666667,1,0.928571429,13,15,1638
126,381,317,275,0.882352941,1,0.9375,15,17,1622
127,316,215,541,0.842105263,1,0.914285714,16,19,1606
128,62,498,203,0.875,1,0.933333333,14,16,1625
129,520,364,581,0.909090909,1,0.952380952,20,22,1557
130,7,612,575,0.75,1,0.857142857,9,12,1560
131,423,623,465,0.785714286,1,0.88,11,14,1613
132,325,420,610,0.846153846,1,0.916666667,11,13,1637
133,503,224,353,0.846153846,1,0.916666667,11,13,1596
134,486,423,235,0.875,1,0.933333333,14,16,1600
135,327,94,90,0.823529412,1,0.903225806,14,17,1649
136,308,642,427,0.833333333,1,0.909090909,20,24,1662
137,566,168,400,0.80952381,1,0.894736842,17,21,1557
138,57,32,43,0.923076923,1,0.96,24,26,1633
139,95,216,600,0.75,1,0.857142857,9,12,1571
140,530,56,258,0.857142857,1,0.923076923,12,14,1645
141,187,158,74,0.894736842,1,0.944444444,17,19,1652
142,364,31,135,0.833333333,1,0.909090909,20,24,1673
143,542,604,442,0.818181818,1,0.9,9,11,1596
144,119,99,639,0.80952381,1,0.894736842,17,21,1577
145,368,585,321,0.8,1,0.888888889,12,15,1550
146,48,286,93,0.882352941,1,0.9375,15,17,1559
147,96,427,332,0.782608696,1,0.87804878,18,23,1612
148,596,401,115,0.888888889,1,0.941176471,16,18,1628
149,179,643,101,0.904761905,1,0.95,19,21,1590
150,372,432,592,0.764705882,1,0.866666667,13,17,1629
151,77,57,83,0.904761905,1,0.95,19,21,1657
152,215,44,620,0.863636364,1,0.926829268,19,22,1621
153,76,385,243,0.75,1,0.857142857,9,12,1599
154,104,583,292,0.857142857,1,0.923076923,12,14,1675
155,547,367,404,0.857142857,1,0.923076923,12,14,1566
156,486,47,112,0.714285714,1,0.833333333,10,14,1666
